show_id,tmdb_id,tmdb_title,tmdb_original_title,tmdb_media_type,tmdb_release_date,imdb_rating,imdb_votes,tmdb_popularity,tmdb_original_language,tmdb_adult
s8557,488424,The Wedding Party 2: Destination Dubai,The Wedding Party 2: Destination Dubai,movie,2017-12-15,6.5,7,2.4146,en,FALSE
s8564,444397,The Workshop,L'Atelier,movie,2017-10-11,5.9,126,5.1109,fr,FALSE
s8567,453296,The Wrong Babysitter,The Wrong Babysitter,movie,2017-04-22,5.1,18,1.2387,en,FALSE
s8572,468012,Theeram,തീരം,movie,2017-07-21,6,1,0.6173,ml,FALSE
s8577,452413,This Is Not What I Expected,喜欢你,movie,2017-04-28,6.741,58,1.9374,zh,FALSE
s8580,464766,Broken Sword Hero,ทองดีฟันขาว,movie,2017-02-09,6.2,9,1.8335,th,FALSE
s8581,284053,Thor: Ragnarok,Thor: Ragnarok,movie,2017-10-02,7.6,21537,8.2595,en,FALSE
s8587,426260,Thumper,Thumper,movie,2017-04-20,5.6,63,2.7989,en,FALSE
s8589,73031,Tientsin Mystic,河神,tv,2017-07-19,6.7,18,1.5483,zh,FALSE
s8591,539942,Tikli and Laxmi Bomb,Tikli and Laxmi Bomb,movie,2017-09-10,8.4,4,0.9898,hi,FALSE
s8602,433092,Tokyo Idols,Tokyo Idols,movie,2017-07-28,6.7,47,2.0635,ja,FALSE
s8620,495967,Treasures from the Wreck of the Unbelievable,Treasures from the Wreck of the Unbelievable,movie,2017-04-16,6,33,0.8915,en,FALSE
s8633,433029,Trophy,Trophy,movie,2017-01-20,7.1,18,3.2544,en,FALSE
s8634,74931,Trotsky,Троцкий,tv,2017-11-06,5.939,33,1.3153,ru,FALSE
s8635,493416,Troy the Odyssey,Troy the Odyssey,movie,2017-10-15,4.1,27,1.6502,en,FALSE
s8637,467432,True to the Game,True to the Game,movie,2017-09-08,5.769,39,2.1104,en,FALSE
s8657,450594,Unacknowledged,Unacknowledged,movie,2017-05-23,6.3,139,0.605,en,FALSE
s8658,469108,Under an Arctic Sky,Under an Arctic Sky,movie,2017-04-23,7.471,34,0.1822,en,FALSE
s8663,505777,Union Leader,Union Leader,movie,2017-09-17,7.1,7,1.7994,hi,FALSE
s8666,447562,Urvi,ಉರ್ವಿ,movie,2017-03-17,7.6,8,1.2876,kn,FALSE
s8675,429662,Viceroy's House,Viceroy's House,movie,2017-03-03,6.635,289,1.6375,en,FALSE
s8681,463040,Viswasapoorvam Mansoor,വിശ്വാസപൂര്‍വ്വം മന്‍സൂര്‍,movie,2017-06-24,6,1,1.3255,ml,FALSE
s8693,438488,Walk with Me,Walk with Me,movie,2017-05-11,5.795,39,1.5761,en,FALSE
s8694,428446,Walking Out,Walking Out,movie,2017-01-21,5.9,153,4.313,en,FALSE
s8702,430834,Water & Power: A California Heist,Water & Power: A California Heist,movie,2017-01-23,7.2,12,1.0801,en,FALSE
s8708,541346,"We, the Marines","We, the Marines",movie,2017-07-21,5.706,17,0.2915,en,FALSE
s8717,406112,Welcome to Willits,Welcome to Willits,movie,2016-11-11,4.204,49,0.9877,en,FALSE
s8720,452313,What a Wonderful Family! 2,家族はつらいよ2,movie,2017-04-20,7,29,2.032,ja,FALSE
s8724,524698,What Makes a Psychopath?,What Makes a Psychopath?,movie,2017-08-29,7,2,0.2508,en,FALSE
s8731,443076,Where's the Money,Where's the Money,movie,2017-10-20,5.567,104,1.8147,en,FALSE
s8735,348529,Who the Fuck Is That Guy?: The Fabulous Journey of Michael Alago,Who the Fuck Is That Guy?: The Fabulous Journey of Michael Alago,movie,2017-07-21,5.577,13,0.4017,en,FALSE
s8745,465171,Williams,Williams,movie,2017-08-14,7.372,94,7.676,en,FALSE
s8747,433095,Winnie,Winnie,movie,2017-07-07,6.4,7,0.3217,en,FALSE
s8754,433622,Withdrawn,Withdrawn,movie,2017-01-21,6.5,4,0.0588,en,FALSE
s8759,73534,World's Busiest Cities,World's Busiest Cities,tv,2017-08-30,7.5,4,0.0934,en,FALSE
s8766,297160,XX,XX,movie,2017-02-17,5,456,2.3004,en,FALSE
s8787,495928,You Can Tutu,You Can Tutu,movie,2017-07-31,8,4,1.1991,en,FALSE
s8788,488971,You Can't Fight Christmas,You Can't Fight Christmas,movie,2017-11-01,5.4,42,1.696,en,FALSE
s204,376884,Kyaa Kool Hain Hum 3,क्या कूल हैं हम 3,movie,2016-01-22,2.767,30,1.6292,hi,FALSE
s213,65153,Rebellion,Rebellion,tv,2016-01-03,6.983,60,2.5538,en,FALSE
s282,860098,Brother Jekwu,Brother Jekwu,movie,2016-12-02,0,0,0.0482,en,FALSE
s307,412186,'76,'76,movie,2016-11-25,6.1,11,0.3271,en,FALSE
s329,348893,Boyka: Undisputed IV,Boyka: Undisputed IV,movie,2016-08-01,7.2,1410,11.6959,en,FALSE
s353,376660,The Edge of Seventeen,The Edge of Seventeen,movie,2016-11-18,7.157,4163,2.0588,en,FALSE
s477,419219,Dan and Phil's The Amazing Tour is Not on Fire,Dan and Phil's The Amazing Tour is Not on Fire,movie,2016-10-05,8.3,3,3.7338,en,FALSE
s487,234004,Ratchet & Clank,Ratchet & Clank,movie,2016-04-13,5.8,643,4.1605,en,FALSE
s511,80170,Between Love and Desire,完美叛侶,tv,2016-07-04,6,1,1.9864,cn,FALSE
s583,353069,Mother's Day,Mother's Day,movie,2016-04-28,5.989,1299,2.1518,en,FALSE
s651,418896,The Dreamseller,O Vendedor de Sonhos,movie,2016-12-08,6.6,122,1.1772,pt,FALSE
s656,432167,#Selfie 69,#Selfie 69,movie,2016-09-16,6.527,55,1.9463,ro,FALSE
s709,333384,Lowriders,Lowriders,movie,2017-04-28,6.713,120,2.2362,en,FALSE
s734,70779,LEGO Friends: The Power of Friendship,LEGO Friends: The Power of Friendship,tv,2016-03-04,7.6,119,1.0854,en,FALSE
s829,345920,Collateral Beauty,Collateral Beauty,movie,2016-12-15,7.219,5483,1.9648,en,FALSE
s873,347882,Sleight,Sleight,movie,2016-04-28,5.4,529,1.467,en,FALSE
s954,331583,The Whole Truth,The Whole Truth,movie,2016-03-25,6.54,1234,2.3177,en,FALSE
s978,380333,Dedemin Fişi,Dedemin Fişi,movie,2016-01-22,4.969,49,0.5614,tr,FALSE
s987,376436,Husband Factor: Resurrection,Kocan Kadar Konuş: Diriliş,movie,2016-01-01,5.6,35,0.613,tr,FALSE
